,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
257,002032.SZ,20220209,54.01,54.43,52.56,53.91,54,-0.09,-0.1667,23296.26,124552.564
256,002032.SZ,20220210,53.91,54.2,52.42,53.75,53.91,-0.16,-0.2968,29779.63,159100.658
255,002032.SZ,20220211,53.71,54.4,51.69,52.18,53.75,-1.57,-2.9209,35145.12,185675.381
254,002032.SZ,20220214,52.17,52.17,50.47,51.03,52.18,-1.15,-2.2039,33369.08,170220.862
253,002032.SZ,20220215,51.04,51.53,50.25,51.14,51.03,0.11,0.2156,21775.16,110489.871
252,002032.SZ,20220216,51.26,52.64,51.18,51.76,51.14,0.62,1.2124,14195.57,73310.688
251,002032.SZ,20220217,51.8,52.07,50.35,50.61,51.76,-1.15,-2.2218,20374.97,103583.251
250,002032.SZ,20220218,50.51,50.78,49.71,50.02,50.61,-0.59,-1.1658,30300.27,151546.604
249,002032.SZ,20220221,50.25,50.3,49.52,50.15,50.02,0.13,0.2599,17011.74,84917.756
248,002032.SZ,20220222,49.9,50.11,48.27,49.15,50.15,-1,-1.994,26873.11,131718.243
247,002032.SZ,20220223,49.37,50.28,49.15,49.98,49.15,0.83,1.6887,19497,97154.377
246,002032.SZ,20220224,49.65,49.75,48.05,48.57,49.98,-1.41,-2.8211,19434.79,94835.618
245,002032.SZ,20220225,48.57,51.8,48.57,51.47,48.57,2.9,5.9708,52801.62,268706.946
244,002032.SZ,20220228,51.58,51.81,49.71,50.57,51.47,-0.9,-1.7486,30918.46,155981.483
243,002032.SZ,20220301,50.5,51.58,50.39,51.4,50.57,0.83,1.6413,30766.42,157081.199
242,002032.SZ,20220302,51.36,51.72,50.28,50.55,51.4,-0.85,-1.6537,18770.72,95321.998
241,002032.SZ,20220303,50.93,51.09,49.7,49.95,50.55,-0.6,-1.1869,17915.65,89822.573
240,002032.SZ,20220304,49.65,50.73,49.15,49.97,49.95,0.02,0.04,19304.97,96616.859
239,002032.SZ,20220307,49.98,49.98,48.32,48.84,49.97,-1.13,-2.2614,25340.5,123806.735
238,002032.SZ,20220308,49.13,49.48,46.34,46.62,48.84,-2.22,-4.5455,41807.86,197280.509
237,002032.SZ,20220309,46.88,47.31,44.57,45.78,46.62,-0.84,-1.8018,34535.78,159006.12
236,002032.SZ,20220310,46.9,48.85,46.54,46.93,45.78,1.15,2.512,29266.9,138074.207
235,002032.SZ,20220311,46.5,47.75,45.65,47.63,46.93,0.7,1.4916,21140.7,99073.163
234,002032.SZ,20220314,47.18,47.23,45.9,46.23,47.63,-1.4,-2.9393,22706.02,105478.756
233,002032.SZ,20220315,45.74,45.99,43.68,43.7,46.23,-2.53,-5.4726,31457.35,140509.026
232,002032.SZ,20220316,44.38,44.6,42.18,44,43.7,0.3,0.6865,34443.83,149667.948
231,002032.SZ,20220317,44.61,47.08,44.13,46.1,44,2.1,4.7727,33509.42,152999.478
230,002032.SZ,20220318,46,47.44,45.5,46.81,46.1,0.71,1.5401,25074.02,116878.917
229,002032.SZ,20220321,47.15,47.48,46,46.67,46.81,-0.14,-0.2991,27515.67,128662.709
228,002032.SZ,20220322,46.52,47.47,46.32,46.95,46.67,0.28,0.6,13362.72,62915.74
227,002032.SZ,20220323,47.39,48.6,47.06,47.94,46.95,0.99,2.1086,20391.03,97776.834
226,002032.SZ,20220324,47.8,49.5,47.18,48.79,47.94,0.85,1.773,30563.26,149653.886
225,002032.SZ,20220325,48.98,51.08,48.72,49.39,48.79,0.6,1.2298,41113.98,204940.592
224,002032.SZ,20220328,48.64,49.14,47.48,48.34,49.39,-1.05,-2.1259,21784.35,105326.96
223,002032.SZ,20220329,48.35,49.46,47.86,48.08,48.34,-0.26,-0.5379,17859.12,86731.39
222,002032.SZ,20220330,48.37,49.63,48.3,49.63,48.08,1.55,3.2238,17193.23,84620.251
221,002032.SZ,20220331,49.44,51,49.16,50.03,49.63,0.4,0.806,16589.44,83436.523
220,002032.SZ,20220401,51.88,54.39,50.91,53.4,50.03,3.37,6.736,41575.25,219036.087
219,002032.SZ,20220406,53.3,54,50.77,51.61,53.4,-1.79,-3.3521,33092.23,171598.479
218,002032.SZ,20220407,52.4,53.15,50.29,50.79,51.61,-0.82,-1.5888,22520.26,116324.757
217,002032.SZ,20220408,50.2,51.17,49.92,50.74,50.79,-0.05,-0.0984,17392.49,87943.454
216,002032.SZ,20220411,50.43,51.5,49.5,50.39,50.74,-0.35,-0.6898,17790.2,90187.313
215,002032.SZ,20220412,49.99,51.56,49.32,51.39,50.39,1,1.9845,21320.95,107336.809
214,002032.SZ,20220413,51.03,53.66,50.68,52.75,51.39,1.36,2.6464,21626.97,114327.251
213,002032.SZ,20220414,53,55.2,52.81,53.2,52.75,0.45,0.8531,17342.33,93148.913
212,002032.SZ,20220415,52.69,54.45,52.33,53.24,53.2,0.04,0.0752,9709.33,52040.644
211,002032.SZ,20220418,53.27,53.75,52.11,52.99,53.24,-0.25,-0.4696,9996.47,53167.373
210,002032.SZ,20220419,53.1,53.98,52.61,53.12,52.99,0.13,0.2453,9410.89,50132.72
